station,lat,lon,year,tmax,tmin,airfrost,rain,sun
Whitby,54.481,-0.624,1990,21.2,3,1.25,41.8083333333333,134.208333333333
Whitby,54.481,-0.624,1991,20.5,0.1,3.58333333333333,33.675,116.908333333333
Whitby,54.481,-0.624,1992,19,1.4,2.66666666666667,48.4666666666667,128.666666666667
Whitby,54.481,-0.624,1993,18.3,2.6,1.75,48.9333333333333,108.625
Whitby,54.481,-0.624,1994,20.2,0.6,1.5,46.275,130.116666666667
Whitby,54.481,-0.624,1995,20.5,0.1,2.75,41.9,115.7
Whitby,54.481,-0.624,1996,18.9,-0.7,4,34.1166666666667,120.75
Whitby,54.481,-0.624,1997,20.3,0.2,1.91666666666667,43.6333333333333,132
Whitby,54.481,-0.624,1998,18.2,3.1,1.16666666666667,50.0916666666667,112.591666666667
Whitby,54.481,-0.624,1999,20,1.4,1.83333333333333,47.3916666666667,135.125
Whitby,54.481,-0.624,2000,20.1,2.9,1.90909090909091,67.6727272727273,133.145454545455
Whitby,54.481,-0.624,2001,20,0.7,3.66666666666667,57.4916666666667,137.925
Whitby,54.481,-0.624,2002,19.8,2.7,1.58333333333333,63.5083333333333,132.75
Whitby,54.481,-0.624,2003,21.3,0.6,3.08333333333333,47.3666666666667,158.675
Whitby,54.481,-0.624,2004,19.4,2.7,1.58333333333333,67.575,132.133333333333
Whitby,54.481,-0.624,2005,19.8,2.4,1.5,56.575,135.816666666667
Whitby,54.481,-0.624,2006,23.4,2,2.25,54.2083333333333,147.483333333333
Whitby,54.481,-0.624,2007,19.7,2.6,1.33333333333333,54.7416666666667,134.216666666667
Whitby,54.481,-0.624,2008,19.9,1.6,2.75,65.1416666666667,137.316666666667
Whitby,54.481,-0.624,2009,21.1,1.2,2.83333333333333,54.6666666666667,144.333333333333
Whitby,54.481,-0.624,2010,21.4,-2.2,5.16666666666667,69.9,130.658333333333
Whitby,54.481,-0.624,2011,19.4,1.3,2.33333333333333,46.775,143.075
Whitby,54.481,-0.624,2012,20.4,1.8,2.66666666666667,73.575,133.558333333333
Whitby,54.481,-0.624,2013,22.4,0.5,3,45.5333333333333,139.366666666667
Whitby,54.481,-0.624,2014,20.8,2.2,2.16666666666667,61.225,139.683333333333
Whitby,54.481,-0.624,2015,20.4,1.6,1.75,46.8166666666667,150.833333333333
Waddington,53.175,-0.522,1947,26.1,-3.8,NaN,35.3333333333333,132.066666666667
Waddington,53.175,-0.522,1948,20,1.5,NaN,48.9166666666667,128.266666666667
Waddington,53.175,-0.522,1949,22.3,0.9,3,41.125,146.816666666667
Waddington,53.175,-0.522,1950,21.4,-1.8,4.33333333333333,54.0666666666667,125.858333333333
Waddington,53.175,-0.522,1951,21.2,0.2,3.91666666666667,58.4333333333333,128.258333333333
Waddington,53.175,-0.522,1952,21.1,-0.7,5.66666666666667,41.45,133.525
Waddington,53.175,-0.522,1953,21.2,0.7,3.66666666666667,47.6833333333333,126.316666666667
Waddington,53.175,-0.522,1954,18.1,-2.2,4.83333333333333,62.6,103.758333333333
Waddington,53.175,-0.522,1955,22.6,-3.5,6.08333333333333,44.1333333333333,132.6
Waddington,53.175,-0.522,1956,19.2,-4,5.41666666666667,60.1083333333333,118.708333333333
Waddington,53.175,-0.522,1957,20.1,1.3,2.75,46.4916666666667,123.9
Waddington,53.175,-0.522,1958,19.9,-0.2,5.16666666666667,61.8,119.233333333333
Waddington,53.175,-0.522,1959,22.9,-1.9,3.5,33.1583333333333,149.925
Waddington,53.175,-0.522,1960,21.5,0.3,3.41666666666667,66.7166666666667,115.566666666667
Waddington,53.175,-0.522,1961,19.7,-1.4,3.5,45.7166666666667,119.141666666667
Waddington,53.175,-0.522,1962,18.6,-2.2,6,41.3833333333333,118.375
